Symbol
TATACONSUM
NESTLEIND
POWERGRID
NTPC
TATASTEEL
HEROMOTOCO
HINDUNILVR
EICHERMOT
RELIANCE
BEL
JSWSTEEL
BAJAJFINSV
ETERNAL
BAJAJ-AUTO
COALINDIA
ONGC
SBILIFE
ITC
TECHM
HDFCLIFE
WIPRO
HINDALCO
ADANIPORTS
SUNPHARMA
BAJFINANCE
APOLLOHOSP
TCS
TITAN
INDUSINDBK
HCLTECH
MARUTI
ADANIENT
SBIN
INFY
AXISBANK
HDFCBANK
BHARTIARTL
LT
SHRIRAMFIN
JIOFIN
ULTRACEMCO
TATAMOTORS
GRASIM
TRENT
KOTAKBANK
CIPLA
ASIANPAINT
ICICIBANK
M&M
DRREDDY
